PO ID,Supplier ID,Supplier,Category,Region,Buyer,Order Date,Promised Date,Receipt Date,Qty Ordered,Qty Received,Unit Price,Benchmark Price,Defect Qty
PO-0001,SUP-001,Supplier 01,Lighting,Lebanon,Yara,2026-02-26,2026-03-31,2026-04-19,386,386,218.96,201.92,0
PO-0002,SUP-002,Supplier 02,Electrical,Italy,Omar,2026-04-22,2026-05-29,2026-05-29,273,233,49.65,50.36,5
PO-0003,SUP-003,Supplier 03,Controls,Turkey,Lea,2026-01-13,2026-02-22,2026-02-26,482,482,149.78,136.05,0
PO-0004,SUP-004,Supplier 04,Fixtures,China,Yara,2026-05-17,2026-06-09,2026-06-09,227,227,171.06,163.29,0
PO-0005,SUP-005,Supplier 05,Cables,UAE,Omar,2026-03-06,2026-04-01,2026-03-26,198,198,184.13,182.92,0
PO-0006,SUP-006,Supplier 06,Lighting,Lebanon,Lea,2026-06-15,2026-07-03,2026-07-05,294,294,209.37,202.34,0
PO-0007,SUP-007,Supplier 07,Electrical,Italy,Yara,2026-05-26,2026-06-16,2026-06-10,274,274,209.6,204.86,0
PO-0008,SUP-008,Supplier 08,Controls,Turkey,Omar,2026-04-09,2026-04-28,2026-05-11,119,119,168.46,159.06,0
PO-0009,SUP-009,Supplier 09,Fixtures,China,Lea,2026-04-19,2026-05-21,2026-05-23,471,471,77.8,73.62,0
PO-0010,SUP-010,Supplier 10,Cables,UAE,Yara,2026-01-17,2026-02-03,2026-01-27,94,94,187.17,196.83,1
PO-0011,SUP-011,Supplier 11,Lighting,Lebanon,Omar,2026-02-07,2026-02-27,2026-03-04,271,271,191.49,175.67,0
PO-0012,SUP-012,Supplier 12,Electrical,Italy,Lea,2026-01-26,2026-03-13,2026-03-10,350,306,43.85,40.27,0
PO-0013,SUP-013,Supplier 13,Controls,Turkey,Yara,2026-01-26,2026-02-22,2026-02-21,173,173,142.78,139.83,0
PO-0014,SUP-014,Supplier 14,Fixtures,China,Omar,2026-06-11,2026-07-06,2026-06-30,28,28,184.07,186.52,0
PO-0015,SUP-015,Supplier 15,Cables,UAE,Lea,2026-03-11,2026-04-22,2026-05-02,103,103,210.6,198.55,0
PO-0016,SUP-016,Supplier 16,Lighting,Lebanon,Yara,2026-03-15,2026-04-23,2026-05-04,361,361,157.7,161.11,0
PO-0017,SUP-017,Supplier 17,Electrical,Italy,Omar,2026-05-08,2026-06-20,2026-06-13,85,85,223.63,227.21,0
PO-0018,SUP-018,Supplier 18,Controls,Turkey,Lea,2026-05-22,2026-06-10,2026-06-07,221,221,40.76,41.7,0
PO-0019,SUP-019,Supplier 19,Fixtures,China,Yara,2026-04-25,2026-06-05,2026-06-06,229,229,96.07,87.79,0
PO-0020,SUP-020,Supplier 20,Cables,UAE,Omar,2026-04-07,2026-04-21,2026-04-24,206,206,79.16,76.72,0
PO-0021,SUP-001,Supplier 01,Lighting,Lebanon,Lea,2026-06-02,2026-07-07,2026-07-09,387,387,196.92,181.19,0
PO-0022,SUP-002,Supplier 02,Electrical,Italy,Yara,2026-04-11,2026-05-19,2026-05-29,164,164,206.27,204.73,0
PO-0023,SUP-003,Supplier 03,Controls,Turkey,Omar,2026-02-04,2026-03-11,2026-03-13,398,398,186.77,191.31,0
PO-0024,SUP-004,Supplier 04,Fixtures,China,Lea,2026-05-10,2026-06-01,2026-06-06,125,125,68.76,71.07,0
PO-0025,SUP-005,Supplier 05,Cables,UAE,Yara,2026-01-08,2026-01-27,2026-01-27,420,420,118.1,126.47,0
PO-0026,SUP-006,Supplier 06,Lighting,Lebanon,Omar,2026-02-16,2026-03-13,2026-03-18,223,223,196.59,187.19,0
PO-0027,SUP-007,Supplier 07,Electrical,Italy,Lea,2026-01-12,2026-02-07,2026-02-09,373,373,162.36,147.33,0
PO-0028,SUP-008,Supplier 08,Controls,Turkey,Yara,2026-05-25,2026-06-30,2026-06-29,352,352,27.71,27.48,0
PO-0029,SUP-009,Supplier 09,Fixtures,China,Omar,2026-06-13,2026-08-01,2026-08-16,341,341,107.77,107.87,0
PO-0030,SUP-010,Supplier 10,Cables,UAE,Lea,2026-05-22,2026-07-05,2026-07-06,122,122,88.09,90,0
PO-0031,SUP-011,Supplier 11,Lighting,Lebanon,Yara,2026-03-08,2026-03-23,2026-03-25,488,488,83.24,78.83,0
PO-0032,SUP-012,Supplier 12,Electrical,Italy,Omar,2026-04-23,2026-05-08,2026-05-06,169,169,128.98,128.89,0
PO-0033,SUP-013,Supplier 13,Controls,Turkey,Lea,2026-01-16,2026-02-13,2026-02-15,279,279,108.62,100.8,0
PO-0034,SUP-014,Supplier 14,Fixtures,China,Yara,2026-03-05,2026-03-20,2026-03-14,432,432,146.88,136.14,0
PO-0035,SUP-015,Supplier 15,Cables,UAE,Omar,2026-04-15,2026-05-19,2026-05-19,447,447,73.32,72.81,0
PO-0036,SUP-016,Supplier 16,Lighting,Lebanon,Lea,2026-03-21,2026-05-02,2026-05-22,473,473,90.22,89.67,0
PO-0037,SUP-017,Supplier 17,Electrical,Italy,Yara,2026-03-10,2026-04-27,2026-04-21,225,222,98.51,98.97,0
PO-0038,SUP-018,Supplier 18,Controls,Turkey,Omar,2026-03-21,2026-04-26,2026-04-29,146,146,94.05,97.81,0
PO-0039,SUP-019,Supplier 19,Fixtures,China,Lea,2026-05-27,2026-06-08,2026-06-07,167,167,111.93,110.09,0
PO-0040,SUP-020,Supplier 20,Cables,UAE,Yara,2026-01-14,2026-02-06,2026-01-30,292,252,10.46,9.84,0
PO-0041,SUP-001,Supplier 01,Lighting,Lebanon,Omar,2026-04-05,2026-04-19,2026-04-28,113,103,102.22,103.38,0
PO-0042,SUP-002,Supplier 02,Electrical,Italy,Lea,2026-05-23,2026-07-04,2026-07-03,205,205,42.47,44.05,10
PO-0043,SUP-003,Supplier 03,Controls,Turkey,Yara,2026-02-26,2026-03-28,2026-04-13,498,498,70.13,64.02,0
PO-0044,SUP-004,Supplier 04,Fixtures,China,Omar,2026-05-22,2026-07-10,2026-07-05,414,414,174.82,187.15,0
PO-0045,SUP-005,Supplier 05,Cables,UAE,Lea,2026-01-26,2026-03-10,2026-03-04,367,367,146.8,140.18,0
PO-0046,SUP-006,Supplier 06,Lighting,Lebanon,Yara,2026-04-17,2026-05-26,2026-06-06,163,163,148.66,137.67,8
PO-0047,SUP-007,Supplier 07,Electrical,Italy,Omar,2026-05-14,2026-05-29,2026-06-01,49,49,74,70.15,0
PO-0048,SUP-008,Supplier 08,Controls,Turkey,Lea,2026-02-18,2026-03-03,2026-02-26,75,72,43.22,44.66,0
PO-0049,SUP-009,Supplier 09,Fixtures,China,Yara,2026-03-30,2026-04-20,2026-04-14,71,71,141.15,150.01,1
PO-0050,SUP-010,Supplier 10,Cables,UAE,Omar,2026-03-29,2026-05-17,2026-05-28,399,399,228.59,227.65,0
PO-0051,SUP-011,Supplier 11,Lighting,Lebanon,Lea,2026-02-14,2026-03-23,2026-03-25,400,346,38.76,37.39,1
PO-0052,SUP-012,Supplier 12,Electrical,Italy,Yara,2026-03-13,2026-04-08,2026-04-04,390,390,187.44,179.87,0
PO-0053,SUP-013,Supplier 13,Controls,Turkey,Omar,2026-04-15,2026-05-05,2026-05-07,389,389,21.49,20.16,0
PO-0054,SUP-014,Supplier 14,Fixtures,China,Lea,2026-05-16,2026-06-27,2026-06-24,455,455,55.73,51.22,0
PO-0055,SUP-015,Supplier 15,Cables,UAE,Yara,2026-06-03,2026-06-22,2026-06-18,294,258,17.17,16.44,0
PO-0056,SUP-016,Supplier 16,Lighting,Lebanon,Omar,2026-03-15,2026-03-29,2026-04-01,416,416,13.44,13.31,0
PO-0057,SUP-017,Supplier 17,Electrical,Italy,Lea,2026-05-10,2026-06-02,2026-06-16,171,171,87.34,87.61,0
PO-0058,SUP-018,Supplier 18,Controls,Turkey,Yara,2026-01-17,2026-02-10,2026-02-13,475,473,85.33,86.21,0
PO-0059,SUP-019,Supplier 19,Fixtures,China,Omar,2026-01-08,2026-02-16,2026-02-21,320,297,48.34,47.87,0
PO-0060,SUP-020,Supplier 20,Cables,UAE,Lea,2026-03-16,2026-04-22,2026-04-27,299,280,152.95,149.93,0
PO-0061,SUP-001,Supplier 01,Lighting,Lebanon,Yara,2026-04-28,2026-06-02,2026-06-13,476,476,148.71,134.35,25
PO-0062,SUP-002,Supplier 02,Electrical,Italy,Omar,2026-03-24,2026-04-29,2026-04-30,221,205,108.5,107.19,4
PO-0063,SUP-003,Supplier 03,Controls,Turkey,Lea,2026-04-01,2026-04-17,2026-04-11,456,456,76.28,80.38,0
PO-0064,SUP-004,Supplier 04,Fixtures,China,Yara,2026-01-30,2026-02-16,2026-03-08,388,363,67.23,66.73,0
PO-0065,SUP-005,Supplier 05,Cables,UAE,Omar,2026-03-18,2026-04-18,2026-04-19,459,459,157.53,152.37,0
PO-0066,SUP-006,Supplier 06,Lighting,Lebanon,Lea,2026-01-28,2026-02-27,2026-03-12,249,249,189.77,174.27,0
PO-0067,SUP-007,Supplier 07,Electrical,Italy,Yara,2026-04-23,2026-05-06,2026-05-07,460,460,33.81,32.32,0
PO-0068,SUP-008,Supplier 08,Controls,Turkey,Omar,2026-02-23,2026-03-19,2026-03-15,473,473,83.61,85.18,0
PO-0069,SUP-009,Supplier 09,Fixtures,China,Lea,2026-03-12,2026-04-07,2026-04-08,361,361,221.68,227.88,0
PO-0070,SUP-010,Supplier 10,Cables,UAE,Yara,2026-05-13,2026-06-21,2026-06-14,27,27,143.79,135.67,0
PO-0071,SUP-011,Supplier 11,Lighting,Lebanon,Omar,2026-05-30,2026-06-11,2026-06-23,101,101,50.46,50.37,0
PO-0072,SUP-012,Supplier 12,Electrical,Italy,Lea,2026-03-11,2026-04-21,2026-04-25,296,296,182.92,175.22,0
PO-0073,SUP-013,Supplier 13,Controls,Turkey,Yara,2026-03-10,2026-04-14,2026-04-09,250,250,241,217.53,0
PO-0074,SUP-014,Supplier 14,Fixtures,China,Omar,2026-04-29,2026-05-19,2026-05-17,287,287,104.57,96.63,0
PO-0075,SUP-015,Supplier 15,Cables,UAE,Lea,2026-02-11,2026-03-29,2026-03-29,415,415,89.67,94.12,0
