Customer ID,Customer,Segment,Region,Risk Tier
CUS-001,Customer 01,Retail,Beirut,Low
CUS-002,Customer 02,Commercial,Mount Lebanon,Medium
CUS-003,Customer 03,Hospitality,North Lebanon,Medium
CUS-004,Customer 04,Public Sector,South Lebanon,High
CUS-005,Customer 05,Retail,Beirut,Low
CUS-006,Customer 06,Commercial,Mount Lebanon,Medium
CUS-007,Customer 07,Hospitality,North Lebanon,Medium
CUS-008,Customer 08,Public Sector,South Lebanon,High
CUS-009,Customer 09,Retail,Beirut,Low
CUS-010,Customer 10,Commercial,Mount Lebanon,Medium
CUS-011,Customer 11,Hospitality,North Lebanon,Medium
CUS-012,Customer 12,Public Sector,South Lebanon,High
CUS-013,Customer 13,Retail,Beirut,Low
CUS-014,Customer 14,Commercial,Mount Lebanon,Medium
CUS-015,Customer 15,Hospitality,North Lebanon,Medium
CUS-016,Customer 16,Public Sector,South Lebanon,High
CUS-017,Customer 17,Retail,Beirut,Low
CUS-018,Customer 18,Commercial,Mount Lebanon,Medium
CUS-019,Customer 19,Hospitality,North Lebanon,Medium
CUS-020,Customer 20,Public Sector,South Lebanon,High
CUS-021,Customer 21,Retail,Beirut,Low
CUS-022,Customer 22,Commercial,Mount Lebanon,Medium
CUS-023,Customer 23,Hospitality,North Lebanon,Medium
CUS-024,Customer 24,Public Sector,South Lebanon,High
CUS-025,Customer 25,Retail,Beirut,Low
CUS-026,Customer 26,Commercial,Mount Lebanon,Medium
CUS-027,Customer 27,Hospitality,North Lebanon,Medium
CUS-028,Customer 28,Public Sector,South Lebanon,High
CUS-029,Customer 29,Retail,Beirut,Low
CUS-030,Customer 30,Commercial,Mount Lebanon,Medium
CUS-031,Customer 31,Hospitality,North Lebanon,Medium
CUS-032,Customer 32,Public Sector,South Lebanon,High
CUS-033,Customer 33,Retail,Beirut,Low
CUS-034,Customer 34,Commercial,Mount Lebanon,Medium
CUS-035,Customer 35,Hospitality,North Lebanon,Medium
CUS-036,Customer 36,Public Sector,South Lebanon,High
CUS-037,Customer 37,Retail,Beirut,Low
CUS-038,Customer 38,Commercial,Mount Lebanon,Medium
CUS-039,Customer 39,Hospitality,North Lebanon,Medium
CUS-040,Customer 40,Public Sector,South Lebanon,High
CUS-041,Customer 41,Retail,Beirut,Low
CUS-042,Customer 42,Commercial,Mount Lebanon,Medium
CUS-043,Customer 43,Hospitality,North Lebanon,Medium
CUS-044,Customer 44,Public Sector,South Lebanon,High
CUS-045,Customer 45,Retail,Beirut,Low
CUS-046,Customer 46,Commercial,Mount Lebanon,Medium
CUS-047,Customer 47,Hospitality,North Lebanon,Medium
CUS-048,Customer 48,Public Sector,South Lebanon,High
